name,first_name,last_name,short_name,position,jersey_number,height,team_id,shirt_number,substitute,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,accurate_own_half_passes,total_own_half_passes,accurate_opposition_half_passes,total_opposition_half_passes,duel_lost,challenge_lost,ball_recovery,good_high_claim,saved_shots_from_inside_the_box,penalty_faced,saves,minutes_played,touches,rating,possession_lost_ctrl,expected_assists,keeper_save_value,total_shots,goals_prevented,pass_value_normalized,defensive_value_normalized,goalkeeper_value_normalized,total_cross,aerial_lost,aerial_won,duel_won,total_contest,outfielder_block,interception_won,total_tackle,won_tackle,unsuccessful_touch,penalty_conceded,was_fouled,fouls,top_speed,kilometers_covered,number_of_sprints,total_ball_carries_distance,ball_carries_count,total_progression,best_ball_carry_progression,total_progressive_ball_carries_distance,progressive_ball_carries_count,dribble_value_normalized,meters_covered_running_km,meters_covered_high_speed_running_km,meters_covered_sprinting_km,dispossessed,total_clearance,won_contest,clearance_off_line,last_man_tackle,blocked_scoring_attempt,expected_goals,key_pass,shot_value_normalized,big_chance_created,shot_off_target,big_chance_missed,on_target_scoring_attempt,expected_goals_on_target,goals,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,penalty_won,accurate_cross,error_lead_to_ashot,team_name,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Kylian Mbappé,,,K. Mbappé,F,10.0,180,4481,10,False,32.0,28.0,4.0,3.0,1.0,3.0,3.0,25.0,29.0,14.0,2.0,,,,,,90.0,61.0,9.9,18.0,0.732517,,8,,0.65,-0.13,,,1.0,,2.0,7.0,,,,,2.0,,,,34.27,8.29,10.0,236.98441605037,21.0,173.26579676475,36.112181577239,163.17195876988,10.0,1.0,1.04,0.28,0.13,6.0,,2.0,,,2.0,1.398,2.0,0.8,1.0,2.0,1.0,4.0,1.9351,2.0,2.0,,,,,,France,True,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Dayot Upamecano,Dayot,Upamecano,D. Upamecano,D,2.0,185,4481,4,True,13.0,12.0,1.0,1.0,1.0,4.0,4.0,8.0,9.0,6.0,5.0,3.0,,,,,45.0,22.0,6.6,1.0,0.00542382,,1,,0.3,-0.48,,,,,3.0,,,2.0,3.0,1.0,,,,1.0,31.59,4.73,9.0,56.432747956729,7.0,47.425427103221,15.605243015143,28.893594999776,2.0,0.14,0.53,0.25,0.19,,1.0,,,,,0.0304,1.0,0.12,1.0,,,1.0,0.3064,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Lucas Digne,,,L. Digne,D,12.0,178,4481,3,True,16.0,15.0,,,0.0,6.0,6.0,9.0,10.0,3.0,,2.0,,,,,45.0,23.0,6.2,4.0,0.0272299,,0,,0.02,-0.34,,1.0,,3.0,3.0,1.0,,1.0,,,,,,2.0,29.2,4.91,5.0,57.810573724958,6.0,41.265573354617,,,0.0,0.04,0.82,0.26,0.08,,2.0,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Ousmane Dembélé,Ousmane,Dembele,O. Dembélé,F,10.0,178,4481,7,True,29.0,25.0,1.0,1.0,0.0,5.0,5.0,20.0,24.0,2.0,2.0,2.0,,,,,45.0,34.0,8.3,5.0,0.599123,,2,,0.4,-0.1,,1.0,,,2.0,1.0,,,,,,,1.0,,32.6,5.03,10.0,117.16180975398,15.0,96.638795635504,20.409854029621,81.49068271971,7.0,0.49,0.91,0.37,0.15,,,1.0,,,,0.481,2.0,0.48,1.0,,,2.0,1.0032,1.0,1.0,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Bradley Barcola,,,B. Barcola,F,29.0,182,4481,12,True,12.0,12.0,,,0.0,3.0,3.0,9.0,9.0,5.0,2.0,2.0,,,,,45.0,20.0,7.7,2.0,0.0508359,,2,,0.08,-0.09,,,,,2.0,1.0,,,1.0,1.0,1.0,,,2.0,34.5,4.84,7.0,88.636786405721,8.0,65.31039371117,18.879977365149,61.708124910536,4.0,0.52,0.57,0.26,0.12,1.0,,1.0,,,1.0,0.4106,1.0,0.47,,,,1.0,0.803,1.0,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Jules Koundé,Jules,Kounde,J. Koundé,D,23.0,180,4481,5,True,5.0,5.0,,,0.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,,,,,8.0,5.0,6.3,,0.00949252,,0,,0.13,-0.22,,,,,,,,,,,,,,,29.9,0.75,3.0,17.248262782089,1.0,14.731092613039,14.731092613039,17.248262782089,1.0,0.02,0.11,0.1,0.04,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Robin Risser,Robin Risser,,R. Risser,G,40.0,193,4481,23,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Brice Samba,Brice,Samba,B. Samba,G,30.0,186,4481,1,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
Lucas Hernández,,,L. Hernández,D,21.0,183,4481,21,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
William Saliba,William,Saliba,W. Saliba,D,2.0,193,4481,17,True,,,,,,,,,,,,,,,,,0.0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,12813003,France,England,4,6,"FIFA World Cup, Knockout",World Cup 2026,Ended,2026-07-18 21:00:00
