name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,unsuccessfulTouch,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,aerialLost,aerialWon,duelLost,totalContest,blockedScoringAttempt,outfielderBlock,interceptionWon,fouls,expectedGoals,topSpeed,kilometersCovered,numberOfSprints,shotValueNormalized,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,challengeLost,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,dispossessed,wonContest,keyPass,accurateCross,bigChanceCreated,wonTackle,penaltyWon,goals,lastManTackle,errorLeadToAShot,penaltyFaced,penaltyConceded,totalOffside,teamName,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Eberechi Eze,Eberechi,Eze,eberechi-eze,E. Eze,M,10,178,67003,M,eze,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",864921,EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيزي', 'bn': 'ইবেরেচি এজ', 'hi': 'एबेरची ईज़े', 'ru': 'Эберечи Эзе'}, 'shortNameTranslation': {'ar': 'إ. إيزي', 'bn': 'ই. এজ', 'hi': 'ई. ईज़े', 'ru': 'Э. Эзе'}}",4713,21,21,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183,7633,M,jordanhenderson,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",42694,EUR,645580800,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان هندرسون', 'bn': 'জর্ডান হেন্ডারসন', 'hi': 'जॉर्डन हेंडरसन', 'ru': 'Джордан Хендерсон'}, 'shortNameTranslation': {'ar': 'ج. هندرسون', 'bn': 'জে. হেন্ডারসন', 'hi': 'जे. हेंडरसन', 'ru': 'Д. Хендерсон'}}",4713,14,14,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Kobbie Mainoo,Kobbie,Mainoo,kobbie-mainoo,K. Mainoo,M,37,184,61417,M,KobbieM,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1142175,EUR,1113868800,"{'value': 72000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كوبي ماينو', 'bn': 'কোবি মাইনু', 'hi': 'कोबी मैनू', 'ru': 'Кобби Мэйну'}, 'shortNameTranslation': {'ar': 'ك. ماينو', 'bn': 'কে. মাইনু', 'hi': 'के. मैनू', 'ru': 'К. Мэйну'}}",4713,16,16,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Ivan Toney,Ivan,Toney,ivan-toney,I. Toney,F,17,185,16932,M,ivantoney,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",290927,EUR,826934400,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان توني', 'bn': 'ইভান টোনি', 'hi': 'इवान टोनी', 'ru': 'Иван Тони'}, 'shortNameTranslation': {'ar': 'إ. توني', 'bn': 'আই. টনি', 'hi': 'आई. टोनी', 'ru': 'И. Тони'}}",4713,22,22,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Ollie Watkins,Ollie,Watkins,ollie-watkins,O. Watkins,F,11,179,23984,M,OllieWatkins,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",555386,EUR,820281600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولي واتكينز', 'bn': 'অলি ওয়াটকিন্স', 'hi': 'ओली वॉटकिंस', 'ru': 'Олли Уоткинс'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'bn': 'ও. ওয়াটকিন্স', 'hi': 'ओ. वॉटकिंस', 'ru': 'О. Уоткинс'}}",4713,19,19,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Dominik Livaković,,,dominik-livakovic,D. Livaković,G,40,186,15200,M,Livakovic40,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",190419,EUR,789609600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك ليفاكوفيتش', 'bn': 'ডমিনিক লিভাকোভিচ', 'hi': 'डोमिनिक लिवाकोविच', 'ru': 'Доминик Ливакович'}, 'shortNameTranslation': {'ar': 'د. ليفاكوفيتش', 'bn': 'ডি. লিভাকোভিচ', 'hi': 'डी. लिवाकोविच', 'ru': 'Д. Ливакович'}}",4715,1,1,G,False,35.0,24.0,20.0,9.0,0.0,16.0,20.0,8.0,15.0,2.0,1.0,4.0,,,,7.0,7.0,1.0,1.0,,90.0,49.0,7.6,11.0,0.00183385,74.401002081939,11.0,18.80631208728,0.0,1.1542,"{'original': 7.6, 'alternative': 7.9}",0,-0.6732,0.13,-0.02,-0.23,0.51,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Josip Šutalo,,,josip-sutalo,J. Šutalo,D,37,190,4929,M,josip.sutalo,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",954836,EUR,951696000,"{'value': 13100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوسيب شوتالو', 'bn': 'জোসিপ সুতালো', 'hi': 'जोसिप शुटालो', 'ru': 'Йосип Шутало'}, 'shortNameTranslation': {'ar': 'ي. شوتالو', 'bn': 'জে. সুতালো', 'hi': 'जे. शुटालो', 'ru': 'Й. Шутало'}}",4715,6,6,D,False,70.0,63.0,6.0,1.0,0.0,51.0,53.0,12.0,17.0,5.0,4.0,3.0,,,,,,,,,90.0,82.0,6.0,9.0,0.00826241,153.95482770731,25.0,33.840136458618,0.0,,"{'original': 6, 'alternative': 6.5}",1,,0.08,0.08,-0.63,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,4.0,1.0,1.0,,,2.0,,0.1663,29.12,9.27,11.0,-0.29,0.98,0.32,0.21,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Luka Vušković,,,luka-vuskovic,L. Vušković,D,16,193,17829,M,lukavuskovic,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",1405212,EUR,1172275200,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكا فوشكوفيتش', 'bn': 'লুকা ভুসকোভিচ', 'hi': 'लुका वुस्कोविक', 'ru': 'Лука Вушкович'}, 'shortNameTranslation': {'ar': 'ل. فوشكوفيتش', 'bn': 'এল. ভুসকোভিচ', 'hi': 'एल. वुस्कोविक', 'ru': 'Л. Вушкович'}}",4715,22,22,D,False,42.0,37.0,3.0,,0.0,26.0,28.0,11.0,14.0,2.0,5.0,6.0,,1.0,,,,,,,66.0,53.0,6.1,6.0,0.0138322,154.86987777067,23.0,22.541106991224,1.0,,"{'original': 6.1, 'alternative': 6.4}",0,,0.01,0.21,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,2.0,2.0,,1.0,1.0,1.0,,29.68,6.44,8.0,,0.74,0.34,0.13,,,,,,,9.0712257915691,9.1352530889954,,1.0,,,,,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Joško Gvardiol,Josko,Gvardiol,josko-gvardiol,J. Gvardiol,D,24,186,57413,M,JGvardiol,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",964994,EUR,1011744000,"{'value': 64000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوشكو غفارديول', 'bn': 'জোসকো গোওয়ারদিওল', 'hi': 'जोस्को ग्वार्डिओल', 'ru': 'Йошко Гвардиол'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'bn': 'জে. গোওয়ারদিওল', 'hi': 'जे. ग्वार्डिओल', 'ru': 'Й. Гвардиол'}}",4715,4,4,D,False,47.0,43.0,3.0,1.0,0.0,25.0,26.0,18.0,21.0,2.0,1.0,4.0,1.0,,,,,,,,90.0,58.0,5.7,8.0,0.0124467,233.34118898299,24.0,104.56163995712,1.0,,"{'original': 5.7, 'alternative': 5.9}",1,,0.1,0.09,-0.76,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,2.0,1.0,1.0,,,,0.2033,34.21,10.16,14.0,0.0,1.77,0.5,0.29,1.0,,,,1.0,1.0,19.595410654622,23.049620409022,,,,,,1.0,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Josip Stanišić,,,josip-stanisic,J. Stanišić,D,44,186,12517,M,josip_stanisic,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",927407,EUR,954633600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوسيب ستانيشيتش', 'bn': 'জোসিপ স্ট্যানিসিচ', 'hi': 'जोसिप स्टैनिसिक', 'ru': 'Йосип Станишић'}, 'shortNameTranslation': {'ar': 'ي. ستانيشيتش', 'bn': 'জে. স্ট্যানিসিচ', 'hi': 'जे. स्टैनिसिक', 'ru': 'Й. Станишић'}}",4715,2,2,M,False,34.0,30.0,2.0,1.0,0.0,19.0,21.0,11.0,13.0,4.0,1.0,6.0,1.0,1.0,,,,,,,90.0,54.0,6.7,5.0,0.03243,93.643626829161,14.0,-13.5549920699,1.0,,"{'original': 6.7, 'alternative': 6.9}",0,,-0.05,0.02,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,1.0,,2.0,1.0,,1.0,1.0,,,35.9,10.34,18.0,,1.45,0.6,0.28,,,,,1.0,2.0,13.538689116966,16.282423928887,,1.0,1.0,1.0,,1.0,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Luka Modrić,,,luka-modric,L. Modrić,M,,173,366566,M,LModric10,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",15466,EUR,495072000,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكا مودريتش', 'bn': 'লুকা মডরিচ', 'hi': 'लुका मोड्रिक', 'ru': 'Лука Модрич'}, 'shortNameTranslation': {'ar': 'ل. مودريتش', 'bn': 'এল. মডরিচ', 'hi': 'एल. मोड्रिक', 'ru': 'Л. Модрич'}}",4715,10,10,M,False,27.0,27.0,1.0,1.0,0.0,13.0,13.0,14.0,14.0,1.0,,1.0,1.0,1.0,,,,,,,58.0,33.0,6.0,2.0,0.00648484,93.135728805724,12.0,25.591102898851,0.0,,"{'original': 6, 'alternative': 6.3}",0,,0.06,0.05,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,,1.0,,,2.0,1.0,1.0,,31.2,6.02,11.0,,0.84,0.34,0.2,,,,,,,,,,,,,,,,,,,,1.0,,Croatia,True,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Mario Pašalić,,,mario-pasalic,M. Pašalić,M,8,189,8128,M,pasalicmario,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",190437,EUR,792288000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريو باشاليتش', 'bn': 'মারিও পাশালিচ', 'hi': 'मारियो पासालिक', 'ru': 'Марио Пашалич'}, 'shortNameTranslation': {'ar': 'م. باشاليتش', 'bn': 'এম. পাশালিচ', 'hi': 'एम. पासालिक', 'ru': 'М. Пашалич'}}",4715,15,15,M,False,22.0,21.0,1.0,1.0,0.0,11.0,11.0,10.0,11.0,1.0,1.0,2.0,,,,,,,,,78.0,28.0,6.8,2.0,0.419507,79.827646737108,10.0,11.791130175291,0.0,,"{'original': 6.8, 'alternative': 6.9}",1,,0.14,0.02,0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,2.0,,,1.0,,1.0,0.0182,,,,-0.11,,,,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Ivan Perišić,,,ivan-perisic,I. Perišić,M,5,187,20058,M,ivanperisic444,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",38710,EUR,602380800,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان بيريشيتش', 'bn': 'ইভান পেরিসিচ', 'hi': 'इवान पेरिसिच', 'ru': 'Иван Перишич'}, 'shortNameTranslation': {'ar': 'إ. بيريشيتش', 'bn': 'আই. পেরিসিচ', 'hi': 'आई. पेरिसिच', 'ru': 'И. Перишич'}}",4715,14,14,M,False,29.0,25.0,,,1.0,10.0,10.0,15.0,19.0,5.0,2.0,2.0,3.0,,,,,,,,90.0,47.0,6.7,13.0,0.165944,152.0448188146,19.0,36.946505090751,1.0,,"{'original': 6.7, 'alternative': 7.2}",0,,0.2,0.37,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6.0,2.0,4.0,5.0,1.0,,,2.0,2.0,,31.4,9.81,19.0,,1.37,0.49,0.35,,,,,,1.0,15.467622620829,15.639681102887,,,4.0,1.0,1.0,,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Petar Sučić,,,petar-sucic,P. Sučić,M,8,184,10213,M,6gwdzv,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",1091303,EUR,1067040000,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيتار سوتشيتش', 'bn': 'পেটার সুসিক', 'hi': 'पेटर सुचिच', 'ru': 'Петар Сучич'}, 'shortNameTranslation': {'ar': 'ب. سوتشيتش', 'bn': 'পি. সুসিক', 'hi': 'पी. सुचिच', 'ru': 'П. Сучич'}}",4715,17,17,F,False,42.0,35.0,2.0,1.0,1.0,18.0,21.0,17.0,21.0,3.0,,5.0,2.0,1.0,,,,,,,90.0,52.0,6.7,12.0,0.0298308,208.90085347535,26.0,58.727184403144,2.0,,"{'original': 6.7, 'alternative': 6.9}",1,,0.08,0.22,0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,8.0,2.0,,,,2.0,0.0106,29.26,11.49,13.0,-0.11,1.77,0.64,0.18,,1.0,,,3.0,1.0,12.959151630258,24.171394971454,2.0,1.0,1.0,,,1.0,,,1.0,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Martin Baturina,,,martin-baturina,M. Baturina,M,20,178,13650,M,martinbaturina,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",1090019,EUR,1045353600,"{'value': 28000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن باتورينا', 'bn': 'মার্টিন বাতুরিনা', 'hi': 'मार्टिन बतुरिना', 'ru': 'Мартин Батурина'}, 'shortNameTranslation': {'ar': 'م. باتورينا', 'bn': 'এম. বাতুরিনা', 'hi': 'एम. बतुरिना', 'ru': 'М. Батурина'}}",4715,16,16,F,False,32.0,25.0,3.0,2.0,0.0,8.0,11.0,17.0,21.0,6.0,,3.0,2.0,2.0,,,,,,,78.0,41.0,7.9,10.0,0.0898652,120.23786869769,20.0,6.5799050250342,0.0,,"{'original': 7.9, 'alternative': 7.5}",1,,-0.11,0.11,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2.0,2.0,3.0,2.0,,,,,0.0434,31.23,8.62,4.0,0.51,1.51,0.32,0.07,,,1.0,0.0526,,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Petar Musa,Petar,Musa,petar-musa,P. Musa,F,9,190,7315,M,g6avgi,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",827668,EUR,888969600,"{'value': 13000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيتار موسا', 'bn': 'পেটার মূসা', 'hi': 'पेटर मूसा', 'ru': 'Петар Муса'}, 'shortNameTranslation': {'ar': 'ب. موسا', 'bn': 'পি. মুসা', 'hi': 'पी. मूसा', 'ru': 'П. Муса'}}",4715,26,26,F,False,8.0,3.0,,,0.0,2.0,2.0,1.0,6.0,5.0,1.0,,2.0,1.0,,,,,,,66.0,17.0,7.4,8.0,0.00010992,,,,,,"{'original': 7.4, 'alternative': 7.1}",1,,0.01,-0.53,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,6.0,3.0,7.0,,,,,1.0,0.1425,29.48,6.9,5.0,0.48,1.02,0.27,0.07,,,1.0,0.1108,,1.0,,,,,,,,,,1.0,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Mateo Kovačić,,,mateo-kovacic,M. Kovačić,M,8,178,37571,M,Kova8,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",136710,EUR,768182400,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتيو كوفاتشيتش', 'bn': 'মাতেও কোভাসিক', 'hi': 'माटेओ कोवासिक', 'ru': 'Матео Ковачич'}, 'shortNameTranslation': {'ar': 'م. كوفاتشيتش', 'bn': 'এম. কোভাসিচ', 'hi': 'एम. कोवासिक', 'ru': 'М. Ковачич'}}",4715,8,8,M,True,30.0,30.0,1.0,1.0,0.0,14.0,14.0,16.0,16.0,3.0,,1.0,2.0,2.0,,,,,,,32.0,37.0,7.0,2.0,0.0243178,99.102241721932,11.0,30.683460263876,0.0,,"{'original': 7, 'alternative': 6.9}",1,,0.26,0.06,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,1.0,,,,1.0,1.0,0.0382,26.68,4.19,3.0,0.01,0.56,0.11,0.02,,,1.0,0.1306,,1.0,,,,,,,,1.0,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Marco Pašalić,Marco,Pasalic,marco-pasalic,M. Pašalić,M,87,177,4881,M,n5fmzn,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",1066802,EUR,968889600,"{'value': 7100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركو باشاليتش', 'bn': 'মার্কো পাশালিচ', 'hi': 'मार्को पासालिक', 'ru': 'Марко Пашалич'}, 'shortNameTranslation': {'ar': 'م. باشاليتش', 'bn': 'এম. পাশালিচ', 'hi': 'एम. पासालिक', 'ru': 'М. Пашалич'}}",4715,24,24,F,True,10.0,6.0,,,0.0,1.0,3.0,5.0,7.0,1.0,1.0,2.0,,,,,,,,,24.0,17.0,6.6,8.0,0.0106435,98.188383089377,9.0,62.451570880009,3.0,,"{'original': 6.6, 'alternative': 6.7}",1,,-0.06,0.27,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,,,2.0,,,,,,0.0578,32.07,8.1,8.0,-0.13,1.09,0.45,0.18,,,1.0,0.0456,,1.0,12.186766969848,42.677637863977,2.0,,,,,1.0,,,,,,,1.0,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Igor Matanović,,,igor-matanovic,I. Matanović,F,31,197,4676,M,b79y3g,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",1019321,EUR,1049068800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيغور ماتانوفيتش', 'bn': 'ইগর মাতানোভিচ', 'hi': 'इगोर मतानोविक', 'ru': 'Игорь Матанович'}, 'shortNameTranslation': {'ar': 'إ. ماتانوفيتش', 'bn': 'আই. মাতানোভিচ', 'hi': 'आई. मतानोविक', 'ru': 'И. Матанович'}}",4715,20,20,F,True,1.0,,,,0.0,,,,1.0,2.0,,,2.0,1.0,,,,,,,24.0,6.0,6.5,3.0,,23.243207093687,1.0,16.663834834923,1.0,,"{'original': 6.5, 'alternative': 6.7}",1,,-0.03,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,1.0,3.0,,,,,2.0,0.015,30.45,3.17,4.0,-0.03,0.42,0.11,0.05,,,1.0,0.1708,,,16.663834834923,23.243207093687,,,,,,,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Nikola Vlašić,,,nikola-vlasic,N. Vlašić,M,10,178,6196,M,niksivlasic_,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",357596,EUR,875923200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيكولا فلاشيتش', 'bn': 'নিকোলা ভ্লাসিচ', 'hi': 'निकोला व्लासिक', 'ru': 'Никола Влашич'}, 'shortNameTranslation': {'ar': 'ن. فلاشيتش', 'bn': 'এন. ভ্লাসিচ', 'hi': 'एन. व्लासिक', 'ru': 'Н. Влашич'}}",4715,13,13,M,True,4.0,2.0,,,0.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,12.0,6.0,6.3,3.0,0.00054383,11.121711897386,2.0,5.6331060291853,0.0,,"{'original': 6.3, 'alternative': 6.4}",0,,-0.09,0.0,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1.0,,,1.0,,,,1.0,1.0,,31.17,2.21,6.0,,0.3,0.14,0.15,,,,,,,,,,,,,,,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Andrej Kramarić,,,andrej-kramaric,A. Kramarić,F,27,177,8666,M,andrejkramaric,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",67647,EUR,677289600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندري كراماريتش', 'bn': 'আন্দ্রেজ ক্রামরিক', 'hi': 'आंद्रेज क्रामारिक', 'ru': 'Андрей Крамарич'}, 'shortNameTranslation': {'ar': 'أ. كراماريتش', 'bn': 'এ. ক্রামারিচ', 'hi': 'ए. क्रामारिक', 'ru': 'А. Крамарич'}}",4715,9,9,F,True,10.0,10.0,,,0.0,5.0,5.0,5.0,5.0,,,1.0,1.0,,,,,,,,12.0,14.0,6.5,3.0,0.00860357,16.379960141958,3.0,1.4528059523398,0.0,,"{'original': 6.5, 'alternative': 6.5}",1,,-0.07,0.0,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2.0,,,,,1.0,,,,0.0073,27.54,2.22,1.0,-0.03,0.37,0.12,0.01,,,,,,,,,,,,,,,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Dominik Kotarski,Dominik,Kotarski,dominik-kotarski,D. Kotarski,G,1,188,2762,M,pb9s87,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",835678,EUR,950140800,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك كوتارسكي', 'bn': 'ডমিনিক কোটারস্কি', 'hi': 'डोमिनिक कोटार्स्की', 'ru': 'Доминик Котарски'}, 'shortNameTranslation': {'ar': 'د. كوتارسكي', 'bn': 'ডি. কোটারস্কি', 'hi': 'डी. कोटार्स्की', 'ru': 'Д. Котарски'}}",4715,23,23,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Ivor Pandur,Ivor,Pandur,ivor-pandur,I. Pandur,G,1,187,1167,M,ekw4fs,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",943212,EUR,953942400,"{'value': 4800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفور باندور', 'bn': 'পান্ডুর আইভরি', 'hi': 'आइवर पांडुर', 'ru': 'Ивор Пандур'}, 'shortNameTranslation': {'ar': 'إ. باندور', 'bn': 'আই. পান্ডুর', 'hi': 'आई. पांडुर', 'ru': 'И. Пандур'}}",4715,12,12,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Croatia,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
