name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,country,id,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,teamId,shirtNumber,jerseyNumber,position,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,unsuccessfulTouch,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,totalBallCarriesDistance,ballCarriesCount,totalProgression,progressiveBallCarriesCount,keeperSaveValue,ratingVersions,totalShots,goalsPrevented,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,totalCross,aerialLost,aerialWon,duelLost,totalContest,blockedScoringAttempt,outfielderBlock,interceptionWon,fouls,expectedGoals,topSpeed,kilometersCovered,numberOfSprints,shotValueNormalized,metersCoveredRunningKm,metersCoveredHighSpeedRunningKm,metersCoveredSprintingKm,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,expectedGoalsOnTarget,challengeLost,totalTackle,bestBallCarryProgression,totalProgressiveBallCarriesDistance,dispossessed,wonContest,keyPass,accurateCross,bigChanceCreated,wonTackle,penaltyWon,goals,lastManTackle,errorLeadToAShot,penaltyFaced,penaltyConceded,totalOffside,teamName,captain,match_id,home_team,away_team,home_score,away_score,tournament,season,status,start_time
Harry Kane,Harry,Kane,harry-kane,H. Kane,F,9,188,437143,M,HurriKane,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",108579,EUR,743817600,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري كين', 'bn': 'হ্যারি কেইন', 'hi': 'हैरी केन', 'ru': 'Гарри Кейн'}, 'shortNameTranslation': {'ar': 'ه. كين', 'bn': 'এইচ. কেইন', 'hi': 'एच. केन', 'ru': 'Г. Кейн'}}",4713,9,9,F,False,21.0,14.0,3.0,1.0,0.0,6.0,9.0,8.0,12.0,4.0,1.0,1.0,1.0,1.0,,,,,,,90.0,35.0,8.3,9.0,0.0369161,54.857258117198,5.0,28.630682124178,1.0,,"{'original': 8.3, 'alternative': 9}",7,,0.04,0.08,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,2.0,2.0,5.0,,1.0,1.0,,2.0,1.0252,28.54,10.85,10.0,0.64,1.73,0.5,0.14,,3.0,3.0,0.8987,,1.0,29.004439616401,34.65020265453,1.0,,2.0,,,1.0,,2.0,,,,,,England,True,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Morgan Rogers,,,morgan-rogers,M. Rogers,M,27,187,28126,M,mrogers,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",948261,EUR,1027641600,"{'value': 86000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان روجرز', 'bn': 'মরগান রজার্স', 'hi': 'मॉर्गन रोजर्स', 'ru': 'Морган Роджерс'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'bn': 'এম. রজার্স', 'hi': 'एम. रोजर्स', 'ru': 'М. Роджерс'}}",4713,17,17,M,True,7.0,5.0,,,0.0,1.0,1.0,4.0,6.0,3.0,1.0,2.0,,1.0,,,,,,,18.0,11.0,7.3,3.0,0.298595,50.716528847203,4.0,41.199603476291,1.0,,"{'original': 7.3, 'alternative': 7.3}",0,,0.38,0.13,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,1.0,1.0,1.0,,,,,,30.19,3.12,6.0,,0.62,0.15,0.1,,,,,,1.0,26.799342447463,34.482655118189,,,2.0,,1.0,1.0,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Bukayo Saka,Bukayo,Saka,bukayo-saka,B. Saka,F,7,178,212806,M,BSaka7,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",934235,EUR,999648000,"{'value': 115000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوكايو ساكا', 'bn': 'বুকায়ো সাকা', 'hi': 'बुकायो साका', 'ru': 'Букайо Сака'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'bn': 'বি. সাকা', 'hi': 'बी. साका', 'ru': 'Б. Сака'}}",4713,7,7,F,True,6.0,5.0,,,1.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,,,,,,,18.0,12.0,7.0,2.0,0.0122777,27.630776630873,3.0,21.903894395782,1.0,,"{'original': 7, 'alternative': 7.2}",0,,0.27,0.09,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,1.0,,,,,,31.68,2.83,6.0,,0.39,0.2,0.08,,,,,,,8.4301632694482,9.0890242050508,,1.0,1.0,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Marcus Rashford,Marcus,Rashford,marcus-rashford,M. Rashford,F,10,188,397482,M,Rashford,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",814590,EUR,878256000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس راشفورد', 'bn': 'মার্কাস রাশফোর্ড', 'hi': 'मार्कस रैशफोर्ड', 'ru': 'Маркус Рашфорд'}, 'shortNameTranslation': {'ar': 'م. راشفورد', 'bn': 'এম. রাশফোর্ড', 'hi': 'एम. रैशफोर्ड', 'ru': 'М. Рашфорд'}}",4713,11,11,F,True,5.0,3.0,1.0,,0.0,1.0,2.0,2.0,3.0,,1.0,2.0,1.0,,,,,,,,18.0,12.0,7.4,6.0,0.00154002,74.674586118589,6.0,40.677470605087,4.0,,"{'original': 7.4, 'alternative': 6.8}",1,,-0.03,0.33,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,1.0,,5.0,3.0,,,,,0.0573,31.18,2.8,9.0,0.49,0.37,0.15,0.15,,,1.0,0.5027,1.0,,23.562073552493,59.300952433253,,,,,,,,1.0,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Djed Spence,,,djed-spence,D. Spence,D,24,184,14717,M,fpquam,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",945798,EUR,965779200,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دجيد سبينس', 'bn': 'জেড. স্পেন্স', 'hi': 'जेड स्पेंस', 'ru': 'Джед Спенс'}, 'shortNameTranslation': {'ar': 'د. سبينس', 'bn': 'ডি. স্পেন্স', 'hi': 'डी. स्पेंस', 'ru': 'Д. Спенс'}}",4713,25,25,D,True,6.0,5.0,1.0,,0.0,4.0,4.0,1.0,2.0,1.0,,,1.0,,,,,,,,10.0,11.0,6.6,3.0,0.00024955,8.2711810523044,1.0,6.8210983370934,0.0,,"{'original': 6.6, 'alternative': 6.6}",1,,-0.01,0.02,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,0.5401,34.95,1.82,6.0,-0.52,0.26,0.09,0.11,1.0,,1.0,0.3693,,1.0,,,,,,,,1.0,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Marc Guéhi,Marc,Guehi,marc-guehi,M. Guéhi,D,15,182,30377,M,MarcGuehi13,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",877994,EUR,963446400,"{'value': 66000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'bn': 'মার্ক গুয়েহি', 'hi': 'मार्क गुएही', 'ru': 'Марк Гехи'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'bn': 'এম. গুয়েহি', 'hi': 'एम. गुएही', 'ru': 'М. Гехи'}}",4713,6,6,D,True,7.0,7.0,1.0,1.0,0.0,7.0,7.0,,,,,1.0,,,,,,,,,10.0,7.0,6.7,,0.00012106,14.374512133133,3.0,0.40314621837852,0.0,,"{'original': 6.7, 'alternative': 6.6}",0,,0.02,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,21.43,0.97,0.0,,0.11,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Dean Henderson,Dean,Henderson,dean-henderson,D. Henderson,G,1,188,6921,M,deanhenderson,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",788134,EUR,858124800,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دين هندرسون', 'bn': 'ডিন হেন্ডারসন', 'hi': 'डीन हेंडरसन', 'ru': 'Дин Хендерсон'}, 'shortNameTranslation': {'ar': 'د. هندرسون', 'bn': 'ডি. হেন্ডারসন', 'hi': 'डी. हेंडरसन', 'ru': 'Д. Хендерсон'}}",4713,13,13,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
James Trafford,James,Trafford,james-trafford,J. Trafford,G,1,197,25591,M,jvvwqy,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",980643,EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'bn': 'জেমস ট্র্যাফোর্ড', 'hi': 'जेम्स ट्रैफोर्ड', 'ru': 'Джеймс Траффорд'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'bn': 'জে. ট্র্যাফোর্ড', 'hi': 'जे. ट्रैफोर्ड', 'ru': 'Д. Траффорд'}}",4713,23,23,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Dan Burn,,,dan-burn,D. Burn,D,33,201,5806,M,nd9d6x,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",99090,EUR,705369600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'bn': 'ড্যান বার্ন', 'hi': 'डैन बर्न', 'ru': 'Дэн Берн'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'bn': 'ডি বার্ন', 'hi': 'डी. बर्न', 'ru': 'Д. Берн'}}",4713,15,15,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
Jarell Quansah,,,jarell-quansah,J. Quansah,D,4,190,15029,M,jarellquansah,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",1003339,EUR,1043798400,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'bn': 'জারেল কোয়ানসাহ', 'hi': 'जेरेल क्वांसाह', 'ru': 'Джарелл Куанса'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'bn': 'জে. কোয়ানসাহ', 'hi': 'जे. क्वांसाह', 'ru': 'Д. Куанса'}}",4713,26,26,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,England,,15186504,England,Croatia,4,2,"FIFA World Cup, Group L",World Cup 2026,Ended,1781726400
